,ID,Chemical,Disease
77,7265370,D014223,D053040
78,7423039,D004317,D066126
79,7444978,D013307,D004409
80,7444978,D013307,D003638
81,7834920,D012293,D005921
82,7834920,D012293,D051437
83,7881871,D011692,D007674
84,7881871,D011692,D011507
85,7930386,D002997,D012893
86,7988234,D008790,D000799
87,7988234,D017706,D000799
88,8073369,D009538,D001176
89,8073369,C007112,D001176
90,8073369,D009538,D002543
91,8302922,D014294,D007022
92,8302922,D000527,D007022
93,8410052,D010862,D013226
94,8410052,D010862,D002544
95,8410052,D010862,D001480
96,8423889,D005473,D009069
97,8682684,D000082,D007022
98,9625142,D002443,D000744
99,9625142,D002443,D056486
100,9766615,D003024,D000380
101,10193204,D004837,D013927
102,10526274,C056507,D013921
103,10526274,C030852,D013921
104,10526274,C056507,D020258
105,10526274,C030852,D009503
106,10526274,C056507,D009503
107,10526274,C030852,D020258
108,10669626,D014859,D061205
109,11379838,D000928,D001714
110,11379838,D017367,D001714
111,11419773,D002110,D014693
112,11581460,D005283,D012131
113,11581460,D005283,D007022
114,11581460,D005283,D001745
115,11581460,D005283,D001919
116,11581460,D005283,D016055
117,11706060,D019469,D009202
118,11706060,D019259,D009202
119,11706060,D015215,D009202
120,11752354,D003276,D009203
121,12369736,D003042,D009069
122,12369736,C065046,D009069
123,12639165,D013988,D007565
124,12639165,D013988,D002779
125,12639165,D013988,D056486
126,12653683,D011692,D011507
127,12653683,D011692,D009404
128,14659530,D005996,D020326
129,14659530,D009569,D020326
130,15804801,D017239,D003323
131,16160878,D001058,D010409
132,16274958,D017255,D055154
133,16330766,D002211,D006930
134,16574712,D018817,D003072
135,17111419,C102006,D006996
136,17175308,D020123,D011507
137,17244258,D003520,D003556
138,18020536,D001569,D005221
139,18020536,D001569,D003866
140,18020536,D001569,D007319
141,18020536,D001569,D004244
142,18023325,D004221,D010292
143,18023325,D004221,D011782
144,18023325,D004221,D010146
145,18023325,D004221,D010523
146,18023325,D004221,D001259
147,18023325,D004221,D014826
148,18208574,D006493,D013927
149,18208574,D006493,D013921
150,18343374,D002996,D012170
151,18343374,D002996,D014786
152,18417364,D009538,D009759
153,18442015,D004872,D006471
154,18442015,D004872,D050197
155,18442015,D002784,D006471
156,18442015,D002784,D014456
157,18442015,D002784,D050197
158,18442015,D004872,D014456
159,18619688,D004317,D006333
160,19308880,D014635,D003221
161,19631624,D018817,D008569
162,19631624,D018817,D007859
163,20003049,C031942,D016063
164,20003049,C031942,D019106
165,20196116,D000995,D017114
166,20470218,D008727,D002493
167,20722491,C110904,D060831
168,20722491,C110904,D013280
169,20722491,C110904,D014839
170,20722491,C110904,D003967
171,20722491,C110904,D009325
172,20882060,D006220,D002375
173,26094,D008750,D003866
174,322550,D009599,D007022
175,869641,D009638,D001919
176,1749407,D003042,D009203
177,1786266,D007099,D001480
178,1835291,D013806,D002318
179,1835291,D013806,D005767
180,1919871,D000082,D007681
181,1919871,D001241,D007681
182,1987816,D008094,D011141
183,2054792,D004317,D006331
184,2304736,D011224,D014550
185,2312209,D007548,D009203
186,2549018,D005473,D017109
187,2611118,D004008,D056486
188,2673163,D003042,D002543
189,2673163,D003042,D013345
190,2673163,D003042,D002544
191,3107448,D005905,D056486
192,3341566,D009599,D007022
193,3564823,D013874,D013035
194,3676049,D007530,D007022
195,3719553,D005472,D000799
196,4008111,D000638,D012848
197,6133211,D012460,D003025
198,6133211,D012460,D001017
199,6133211,D012460,D006345
200,6133211,D012460,D007690
201,6503301,D003606,D006504
202,6727060,D008787,D004409
203,7083920,D000638,D006327
204,7269015,D002066,D003556
205,7269015,D002066,D006470
206,7352670,D009599,D007022
207,7352670,D006221,D007022
208,7504976,D002231,D056486
209,7504976,D002231,D002779
210,7628595,D015215,D001855
211,7858459,D002955,D003221
212,7858459,D005472,D003128
213,7858459,D005472,D003221
214,7858459,D002955,D003128
215,7862923,D006220,D001480
216,7862923,D002746,D001480
217,7862923,D003024,D001480
218,7862923,C036006,D001480
219,7919560,D000667,D004892
220,7919560,D000667,D004342
221,7919560,D000667,D009205
222,8092427,D000658,D000707
223,8092427,D000658,D004342
224,8092427,D000658,D000799
225,8638206,D001279,D010243
226,8638206,D014673,D010243
227,8669433,D010615,D007676
228,8690168,D013311,D003928
229,8739323,D003520,D006470
230,8739323,D003520,D003556
231,8752018,D008094,D003072
232,9390208,C085788,D006331
233,9390208,C085788,D007970
234,9406968,D018021,D011141
235,9587734,D013390,D004342
236,9587734,D013390,D006323
237,9587734,D013390,D006947
238,9587734,D013390,D001919
239,9698967,D004837,D001281
240,9698967,D008619,D001281
241,9698967,D008619,D006973
242,9698967,D004837,D006973
243,9855119,D016559,D005923
244,9869257,C098725,D000647
245,9869257,D012601,D000647
246,10342929,D000806,D000799
247,10457883,D001279,D012131
248,10457883,D001279,D001919
249,10457883,D001279,D001049
250,10739826,D003276,D054556
251,10791295,D001058,D010554
252,11147747,D016651,D014549
253,11147747,D020280,D014549
254,11147747,D018490,D014549
255,11147747,D017374,D014549
256,11147747,C047426,D014549
257,11198499,C023754,D007022
258,11198499,D017706,D007022
259,11391224,D003042,D058186
260,11426838,D003042,D012640
261,11569530,D016593,D016171
262,11569530,D020117,D016171
263,11569530,C010637,D016171
264,11587867,D014750,D020258
265,11587867,D014750,D009410
266,11587867,D014750,D003711
267,11679859,D011346,D017109
268,12041669,D010396,D000741
269,12198388,D009388,D012640
270,12198388,D009538,D012640
271,12198388,D002217,D012640
272,12574103,D003907,D007674
273,12574103,D003907,D006973
274,12615818,D017373,D054556
275,12615818,D004997,D054556
276,12789195,D008914,D000172
277,12820454,D016729,D000740
278,12820454,D005485,D000740
279,14657095,D000666,D006333
280,14657095,D000666,D002311
281,14765563,D011803,D003221
282,14765563,D011803,D003128
283,14765563,D011803,D012640
284,15036754,D007531,D012640
285,15145918,C032302,D007022
286,15145918,D008750,D007022
287,15233872,D007545,D009203
288,15458908,D020849,D054556
289,15737522,D002443,D001660
290,16005948,D003042,D012640
291,16167916,D020849,D054556
292,16403073,D007654,D016171
293,16403073,D007654,D008133
294,16755009,D003975,D000647
295,16755009,D012601,D000647
296,16904497,C030262,D011128
297,16904497,D002045,D011128
298,16938416,D013739,D050197
299,17147461,D020123,D007674
300,17147461,D020123,D011507
301,17241784,D019821,D009336
302,17241784,D019821,D009135
303,17261653,D003000,D001919
304,17343925,D012906,D034381
305,17400887,D013726,D001321
306,17612891,D003024,D009205
307,17612891,D000928,D009205
308,18081909,C026098,D008569
309,18081909,D014635,D008569
310,18081909,D014635,D001927
311,18081909,C026098,D001927
312,18081909,C026098,D004830
313,18081909,D014635,D004830
314,18083142,D003042,D001008
315,18182964,D003000,D001919
316,18217897,D013792,D013923
317,18996674,D003042,D011317
318,19058010,D007545,D009203
319,19581773,D012254,D009157
320,19581773,C417083,D001763
321,19581773,D012254,D001763
322,19581773,C417083,D015835
323,19581773,C417083,D009157
324,19581773,D012254,D015835
325,19759529,C094645,D002375
326,19759529,D006220,D002375
327,19759529,C076029,D002375
328,19759529,D016291,D006948
329,19759529,D000661,D006948
330,19759529,D003024,D002375
331,19957053,D005283,D007022
332,19957053,D005283,D002303
333,19957053,D015742,D007022
334,19957053,D015742,D002303
335,19957053,D010656,D002534
336,20619828,D002997,D008569
337,20619828,D002997,D001008
338,20619828,D002997,D060845
339,891050,D003276,D006463
340,983936,D004837,D009202
341,1428568,D013999,D003866
342,1720453,D007069,D005198
343,1720453,D007069,D007674
344,1833784,D009538,D006948
345,1867351,D015767,D012893
346,1867351,D015767,D011605
347,1867351,D015767,D001008
348,1867351,D015767,D012640
349,2070391,D008012,D010146
350,2266990,D008454,D012817
351,2266990,D008454,D014987
352,2266990,D008454,D001068
353,2348231,D004176,D006940
354,2348231,D010431,D007383
355,2355241,D007980,D007022
356,2445283,D012254,D000740
357,2950248,D004176,D000787
358,3015567,D009599,D007022
359,3031535,D006220,D002375
360,3031535,D013759,D002375
361,3125768,D015760,D009127
362,3187073,D002945,D002318
363,3187073,D005472,D014693
364,3187073,D005472,D002637
365,3187073,D005472,D001281
366,3187073,D002945,D001281
367,3187073,D005472,D002318
368,3187073,D002945,D014693
369,3187073,D002945,D002637
370,3371379,D014700,D020258
371,3371379,D002220,D020258
372,3503576,D003676,D006316
373,3503576,D003676,D014786
374,3560095,D005480,D006261
375,3560095,D005480,D006471
376,3560095,D005480,D015746
377,3714122,C005238,D013118
378,3828020,D010665,D001523
379,3828020,D010665,D012640
380,3828020,D010665,D002544
381,3828020,D010665,D002543
382,4812392,D001379,D005355
383,4812392,D001379,D002779
384,6518066,D008094,D004437
385,6534871,D007545,D009203
386,6538499,D004317,D009202
387,6747681,D002330,D031300
388,6861444,D009638,D006973
389,7053303,D002927,D003704
390,7088431,D004054,D014625
391,7088431,D004054,D018262
392,7248170,D010634,D008103
393,7248170,D002251,D008103
394,7248170,D010634,D006529
395,7453952,D008094,D003919
396,7802851,D000525,D001259
397,7802851,D000525,D008569
398,7802851,D000525,D004775
399,7802851,D000525,D003866
400,7802851,D000525,D015431
401,8319760,D011692,D006937
402,8319760,D011692,D011507
403,8319760,D011692,D009404
404,8319760,D011692,D034141
405,8386779,D010646,D004414
406,8386779,D000527,D004414
407,8421099,D015282,D041881
408,8421099,D015282,D042882
409,8649546,D007980,D004409
410,8919272,D014635,D001927
411,9199746,D000583,D007511
412,9199746,D000583,D012164
413,9249847,D014700,D013611
414,9284778,C072959,D008107
415,9284778,C067411,D008107
416,9522143,D011318,D034381
417,9522143,D002045,D034381
418,9522152,D002045,D012678
419,9672936,D008614,D012640
420,9721172,D007052,D013262
421,9721172,D007052,D002779
422,9727773,D005277,D006976
423,9727773,D001067,D006976
424,9754849,D008691,D002819
425,9754849,D003042,D006948
426,9754849,D003042,D002819
427,10365197,D003042,D019964
428,10704919,D013629,D006461
429,10704919,D013629,D000743
430,10706004,D009569,D006973
431,10721819,D007545,D001919
432,10721819,D004294,D001919
433,10721819,D001971,D007022
434,10721819,D007545,D006332
435,10721819,D001971,D013610
436,10737864,D003000,D001919
437,10743446,D002211,D006930
438,10743446,D002211,D010146
439,11007689,D016572,D057049
440,11007689,D016559,D057049
441,11256525,D019808,D001002
442,11334364,D000638,D009336
443,11334364,D004317,D009336
444,11334364,D000082,D009336
445,11334364,D000082,D007674
446,11334364,D000638,D008171
447,11334364,D004317,D066126
448,11642480,D015283,D004409
449,12063090,D009020,D003248
450,12084448,D007069,D009207
451,12084448,D007069,D001927
452,12684739,D020888,D005128
453,12716030,D006493,D006406
454,12757899,D008094,D013226
455,12757899,D008094,D001930
456,12757899,D010862,D013226
457,12757899,D010862,D001930
458,12905102,D003024,D003693
459,14513889,D007654,D004401
460,14513889,D007654,D018908
461,14513889,D007654,D014202
462,14513889,D007654,D010243
463,15009014,D002211,D002561
464,15009014,D002211,D006940
465,15120741,D010862,D013226
466,15120741,D010862,D012640
467,15275829,D009538,D012640
468,15602202,D017963,D009395
469,16181582,D014635,D001927
470,16298782,D005839,D034381
471,16428221,D008774,D020293
472,16858720,D014859,D002543
473,17466854,D005839,D006261
474,17466854,D008775,D020250
475,17466854,D008775,D006261
476,17466854,D005839,D020250
477,17562951,C044834,D007674
478,17562951,D003287,D007674
479,17562951,D007479,D007674
480,17600377,D012601,D003072
481,17639754,D014859,D006470
482,17639754,D064704,D006470
483,17854040,D006514,D006509
484,18221780,D002211,D006930
485,18261172,D020123,D011507
486,18329269,D006220,D002375
487,18410508,D008694,D009422
488,18410508,D015632,D009422
489,18503483,D016559,D020968
490,18560792,D010479,D001022
491,18560792,D010479,D008944
492,18726058,D010208,D000160
493,18726058,D010208,D006319
494,18754075,D019386,D058186
495,18754075,D019386,D011507
496,18768591,D004317,D001201
497,18768591,D004317,D006949
498,18768591,D004317,D011507
499,18768591,D004317,D009404
500,18768591,D004317,D034141
501,19299179,D015662,D002780
502,19356053,D020123,D011507
503,19729346,D010098,D008569
504,19729346,D010098,D003072
505,20080983,D003042,D012893
506,20520283,D006220,D001480
507,20520283,C522667,D001480
508,20588063,D011692,D011507
509,20588063,D011692,D009401
510,19820426,C558899,D002311
511,19820426,C558899,D006327
512,19820426,C558899,D001919
513,1616457,D010424,D000647
514,567256,D004054,D008113
515,567256,D004054,D006394
516,17439425,D003907,D015431
517,17439425,D003907,D006973
518,9351491,D018967,D010302
519,9351491,D006220,D010302
520,18752389,C492458,D056486
521,18752389,C492458,D017114
522,20098969,D008694,D003731
523,9653867,D013974,D013971
524,17608141,D008694,D005334
525,2559236,D004317,D000419
526,2559236,D004317,D009401
527,21029050,D013390,D001049
528,10901305,D007649,D009325
529,10901305,D007649,D014839
530,10901305,D007649,D001259
531,19037603,D006514,D006509
532,20084309,D008874,D000860
533,8231633,D002045,D012640
534,10091617,D012642,D007024
535,19269743,D002211,D010146
536,3070035,D002216,D058186
537,1147734,D011441,D006521
538,12202650,D002211,D010146
539,18951540,D007980,D004409
540,19657887,D000431,D007022
541,19657887,D000431,D005483
542,19657887,D003484,D007022
543,19657887,D000431,D004417
544,19657887,D003484,D013610
545,19657887,D003484,D004417
546,19657887,D000431,D013610
547,19657887,D003484,D005483
548,9660111,D003913,D006948
549,9660111,D012110,D007035
550,9660111,D014299,D006948
551,9660111,D019257,D006948
552,11431197,D011899,D009395
553,7449470,D004317,D009202
554,8170551,D000086,D007669
555,2476560,D001556,D000741
556,2476560,D001556,D002493
557,19803309,D013390,D014313
558,18821488,C068820,D007674
559,18821488,C068820,D056486
560,18821488,C068820,D006456
561,18821488,C068820,D009212
562,8372922,D005665,D034381
563,8372922,D007612,D034381
564,9195768,D018170,D010292
565,15338796,D000420,D014202
566,12627929,D013792,D054556
567,12627929,C067311,D054556
568,6634932,D010042,D017180
569,18791946,D002939,D011693
570,18791946,D002939,D007565
571,18791946,D002939,D013921
572,18791946,D002939,D000743
573,18791946,D002939,D015746
574,17344566,D019821,D003161
575,9293063,D003613,D001650
576,9293063,D003613,D006222
577,1728522,D019980,D056486
578,1728522,D019980,D006099
579,1728522,D019980,D002779
580,10807237,D003042,D017542
581,12536034,D020888,D004832
582,12536034,D002220,D004832
583,7234705,D011342,D017180
584,8955532,D010656,D006973
585,2578334,D015073,D011230
586,2578334,D001564,D011230
587,2578334,D002251,D011230
588,2578334,D001374,D011230
589,2578334,D019813,D011230
590,2578334,D008770,D011230
591,11532387,D018967,D001480
592,11532387,D018967,D013375
593,3173179,D014700,D009203
594,3856631,D008727,D010291
595,3856631,D008727,D009503
596,3856631,D008727,D012640
597,3856631,D008727,D052016
598,2522601,D002220,D051437
599,2522601,D002220,D003873
600,2522601,D002220,D007955
601,2522601,D002220,D004342
602,2522601,D002220,D007010
603,8741744,D009538,D006948
604,17491223,D004280,D017202
605,18004067,D000082,D056486
606,18004067,D000082,D017093
607,12443032,D003042,D002637
608,17615423,D000638,D058186
609,17615423,C413408,D058186
610,17615423,D019821,D012206
611,17615423,D019821,D058186
612,17615423,D000638,D012206
613,17615423,C413408,D012206
614,8558192,C030852,D000380
615,8558192,C030852,D010523
616,11135224,D002945,D009503
617,11135224,D017239,D013921
618,11135224,C056507,D009503
619,11135224,D017239,D009503
620,11135224,C056507,D013921
621,11135224,D002945,D013921
622,8590259,C016986,D015814
623,8590259,C016986,D015878
624,8590259,C016986,D004774
625,8590259,C016986,D003316
626,8590259,C016986,D003229
627,2096243,C017367,D056784
628,2096243,C017367,D019965
629,6209318,D008801,D014202
630,6209318,D008801,D012817
631,3615541,D000661,D006948
632,8953972,D004837,D013345
633,8953972,D004837,D006323
634,3782049,D008972,D012206
635,3782049,D008972,D058186
636,9100294,D014700,D018376
637,9100294,D009543,D018376
638,9100294,D020748,D018376
639,19889778,D006514,D006509
640,19889778,D006513,D006509
641,15278670,D008012,D012640
642,17042910,D003907,D006973
643,11897407,D007545,D009203
644,9812111,D006220,D001480
645,15572383,D004317,D011507
646,7420681,D005839,D051437
647,7420681,D014031,D051437
648,12907309,D008694,D005334
649,16680561,D003891,D009325
650,16680561,C476217,D006261
651,16680561,D003891,D006261
652,16680561,C476217,D009325
653,17532790,D007980,D004409
654,7582165,D010248,D014581
655,7582165,D003907,D003231
656,7582165,D003907,D014581
657,7582165,D010248,D003231
658,16787750,D014635,D001855
659,16787750,D014635,D010195
660,16787750,D014635,D001927
661,16787750,D014635,D056486
662,16787750,D014635,D003244
663,3173180,D008795,D006463
664,8996652,D000617,D006319
665,8996652,D005665,D006319
666,84204,D002927,D003221
667,9862868,D004997,D002780
668,15515654,D003676,D006319
669,2024540,D000806,D007022
670,2024540,D011224,D007022
671,12090760,D015215,D000740
672,7516729,D014700,D001919
673,2802551,D000666,D007674
674,19346865,D008795,D001927
675,2334618,D009020,D020182
676,2334618,D009020,D020181
677,2334618,D009020,D018879
678,8864707,D010672,D062787
679,12589964,D004317,D009202
680,11263551,D016559,D010146
681,11263551,D016559,D004487
682,11263551,D016559,D001855
683,11263551,D016572,D001855
684,11263551,D016572,D004487
685,11263551,D016572,D010146
686,10520387,D015742,D007022
687,10520387,D015742,D013610
688,10520387,D004809,D013610
689,230316,D007464,D001927
690,230316,D007464,D014786
691,230316,D007464,D010523
692,230316,D007464,D009896
693,230316,D007464,D013118
694,11807648,D014148,D012640
695,14596845,D013395,D006948
696,14596845,D000661,D006948
697,6666578,D010396,D001018
698,11279304,D003630,D006333
699,19884587,D013449,D006548
700,19884587,D013449,D018636
701,19884587,D013449,D017880
702,19884587,D009582,D006344
703,19884587,D009582,D018636
704,19884587,D009582,D002972
705,19884587,D009582,D000853
706,19884587,D013449,D001017
707,19884587,D013449,D000014
708,19884587,D013449,D002754
709,19884587,D009582,D008850
710,19884587,D009582,D002971
711,19884587,D013449,D000757
712,19884587,D009582,D000014
713,3970039,D000477,D015470
714,3970039,D003520,D001749
715,3970039,D000477,D008228
716,3970039,D001379,D008228
717,3970039,D003520,D002277
718,424937,D008750,D009336
719,424937,D008750,D006529
720,424937,D008750,D009325
721,424937,D008750,D005234
722,424937,D008750,D014839
723,424937,D008750,D002779
724,424937,D008750,D015746
725,424937,D008750,D007565
726,424937,D008750,D056486
727,424937,D008750,D000855
728,8643971,D002945,D000505
729,8643971,D017239,D010292
730,8643971,D017239,D000505
731,8643971,D002945,D018771
732,8643971,D017239,D018771
733,8643971,D002945,D010292
734,2224762,D004317,D010689
735,2224762,D004317,D000380
736,2224762,D004317,D052016
737,2224762,D004317,D000505
738,2224762,D004317,D013921
739,2224762,D004317,D000740
740,2224762,D004317,D009325
741,2440413,C034818,D012640
742,2440413,D001640,D012640
743,2440413,D010433,D012640
744,2440413,D013331,D012640
745,2440413,D010852,D012640
746,2440413,D015097,D012640
747,12483326,D016190,D009896
748,12483326,D016190,D010211
749,12483326,D016190,D012163
750,12483326,D016190,D058447
751,12483326,D016190,D014786
752,12483326,D016190,D009916
753,1664218,C042315,D007239
754,1664218,C042315,D012640
755,1664218,C042315,D009503
756,1664218,C042315,D009325
757,1664218,C042315,D010689
758,1664218,C042315,D014839
759,18809400,D017239,D009410
760,18809400,D002945,D009410
761,18809400,D002945,D010523
762,18809400,D017239,D010523
763,17020434,C426686,D056486
764,3865016,D016572,D003221
765,3865016,D005047,D006932
766,3865016,D005047,D003221
767,3865016,D016572,D006932
768,3629586,C021341,D009503
769,3629586,D015790,D013921
770,3629586,D015790,D000740
771,3629586,C021341,D013921
772,3629586,D015790,D009503
773,3629586,C021341,D000740
774,150790,D007538,D006948
775,150790,D007538,D002653
776,10579464,D008694,D006948
777,10579464,D003024,D002375
778,10579464,C121249,D002375
779,3496378,D014217,D002779
780,3496378,D014217,D007565
781,3496378,D014217,D004802
782,3496378,D014217,D011537
783,3496378,D014217,D056486
784,3076126,D015248,D009135
785,3076126,D016572,D009135
786,3076126,D008148,D051437
787,3076126,D009525,D009135
788,3076126,D008148,D009212
789,2894766,D012460,D010996
790,2894766,D012460,D011014
791,2894766,D012460,D008180
792,2894766,D012460,D002305
793,1549199,D007980,D020447
794,1549199,D007980,D005767
795,1549199,D007980,D007024
796,88336,D002719,D003128
797,88336,D009567,D003128
798,88336,D002719,D053608
799,88336,D009567,D062787
800,18544179,D005283,D007022
801,18544179,D005283,D012131
802,18544179,D005283,D020250
803,18544179,D005283,D001919
804,18186898,D016559,D005198
805,18186898,D016559,D009135
806,18186898,D019259,D009135
807,18186898,D019259,D005198
808,16867021,D000661,D006948
809,16867021,D006220,D002375
810,16867021,C052075,D002375
811,14976857,D011405,D018754
812,14976857,D011405,D000860
813,14976857,D011405,D003490
814,11745184,D002945,D009422
815,11745184,D002945,D006311
816,11745184,D002945,D007674
817,3985451,D014859,D020428
818,3985451,D014859,D009408
819,3985451,D014859,D009135
820,3985451,D014859,D006406
821,3750012,D002738,D009157
822,3750012,D010396,D009157
823,1130930,D005839,D007683
824,1130930,D002512,D007683
825,1130930,D005839,D009846
826,1130930,D002512,D009846
827,19356307,D012601,D008569
828,15957009,D012601,D008569
829,15899738,D003401,D001281
830,15863244,D010894,D005317
831,15863244,D010894,D009139
832,15863244,C106876,D005317
833,12921865,D003042,D012640
834,12584269,D016572,D007674
835,12584269,D016559,D007674
836,12584269,D020123,D007674
837,10406016,C007789,D020141
838,10406016,C007789,D001929
839,3403780,D000082,D000138
840,3403780,D000082,D017114
841,3403780,D000082,D058186
842,3101906,D007654,D007565
843,3101906,D007654,D002779
844,3101906,D007654,D056486
845,9088814,D000527,D007022
846,9088814,D000527,D008107
847,20880751,D007980,D004409
848,20080419,D010862,D004827
849,20080419,D010862,D013226
850,19445921,D007545,D009203
851,18439803,D010862,D012640
852,17919553,C106791,D056486
853,15632880,D013148,D006947
854,15632880,D013148,D051437
855,11773892,D016559,D007674
856,11773892,D016572,D007674
857,10835440,D009553,D007022
858,9523805,D008012,D009422
859,9523805,D011318,D009422
860,9245658,D009538,D002318
861,9245658,D009538,D050197
862,9034419,C047426,D012640
863,9034419,C047426,D062787
864,8829025,D016559,D006973
865,8437969,D002927,D054138
866,8437969,D002927,D001919
867,7890216,D015282,D042882
868,7468724,D013726,D002318
869,7199841,C004616,D010243
870,7199841,C004616,D013118
871,6640832,D004317,D003556
872,3560096,D007213,D006947
873,3560096,D013467,D006947
874,3358181,D012312,D014693
875,2887062,D004967,D015175
876,2425813,D011239,D006529
877,2425813,D011239,D009133
878,2375138,D008874,D012140
879,2375138,D008874,D006323
880,2265898,C009265,D004827
881,2071257,D012601,D008569
882,1592014,D003042,D012640
883,1592014,C005618,D012640
884,1436384,D000661,D020258
885,1085609,D007538,D012640
886,809711,D005996,D007022
887,20621845,D002122,D017545
888,19843802,D004837,D006973
889,19473225,D017239,D010523
890,19387625,D002211,D006930
891,19211690,D017673,D007674
892,18703024,D006220,D002375
893,18631865,D020123,D011507
894,18162529,D013469,D006966
895,17879945,D019438,D050197
896,17437408,D010862,D012640
897,17242861,D010862,D004833
898,16337777,D010862,D004833
899,15859940,D016572,D057049
900,15188772,D004837,D017682
901,15130900,D003520,D001749
902,12707296,C021650,D006973
903,12695819,D016559,D056784
904,12596116,D015282,D006976
905,11875660,D001374,D000757
906,11166519,D003042,D012640
907,8701950,D016559,D000743
908,7292072,D003891,D017180
909,4027862,D003891,D003693
910,2484011,D000547,D011596
911,2396046,D002794,D006528
912,2008831,D008755,D003329
913,1732369,D004317,D009202
914,234669,D000628,D014693
915,16740173,D002217,D009325
916,16740173,D002217,D001919
917,16740173,D002217,D006323
918,16740173,D002217,D006333
919,16740173,D002217,D007022
920,16740173,D002217,D015877
921,16740173,D002217,D006945
922,16740173,D002217,D012798
923,12464714,C093622,D009325
924,12464714,C093622,D004244
925,6203452,D001761,D011697
926,6203452,D014748,D006463
927,6203452,D002945,D007674
928,6203452,D014748,D007674
929,6203452,D002945,D011697
930,6203452,D001761,D006463
931,6203452,D014748,D011697
932,6203452,D002945,D006463
933,6203452,D001761,D007674
934,20528871,C104457,D009422
935,20528871,C104457,D006402
936,20528871,C104457,D059352
937,11672959,D012460,D005334
938,11672959,D012460,D009205
939,11672959,D012460,D008206
940,11672959,D012460,D018805
941,11672959,D012460,D009393
942,11672959,D012460,D003872
943,11672959,D012460,D056486
944,11928786,D016642,D013610
945,11928786,D016642,D012640
946,11928786,D016642,D006212
947,11928786,D016642,D001145
948,11928786,D016642,D006323
949,7977601,D007208,D012769
950,7977601,D007208,D010146
951,7977601,D007208,D007022
952,7977601,D007208,D011537
953,7977601,D007208,D009325
954,7977601,D007208,D005076
955,7977601,D007208,D014581
956,19300402,D013311,D003929
957,19300402,D013311,D006930
958,19300402,D014750,D010523
959,19300402,D014750,D006930
960,15325671,D003520,D006333
961,9746003,D002220,D004832
962,9746003,D002220,D009207
963,9746003,D020888,D004832
964,1992636,D009853,D004417
965,1992636,D009853,D000743
966,1992636,D009853,D053609
967,8387218,D016049,D018149
968,8387218,D016049,D010523
969,8387218,D016049,D003967
970,8387218,D016049,D010195
971,20698227,C471405,D006461
972,20698227,C473478,D006461
973,20477932,D003042,D007859
974,20477932,D003042,D008569
975,9495837,D012601,D000647
976,9495837,D004025,D000647
977,1468485,D003520,D006417
978,1468485,D003520,D003556
979,1468485,D003520,D006470
980,1009330,C010882,D003556
981,1009330,D003091,D003556
982,1009330,D007612,D003556
983,1009330,D011206,D003556
984,347884,D006220,D001480
985,347884,C006820,D001480
986,20667451,D010634,D003072
987,20667451,D002220,D003072
988,19767176,D010862,D013226
989,19767176,D010862,D009410
990,16330293,D009538,D009325
991,16330293,D009538,D006261
992,16330293,D009538,D006606
993,14568327,D007980,D004409
994,14568327,D015632,D010302
995,11250767,D011441,D005334
996,11250767,D011441,D010493
997,11250767,D011441,D005921
998,11206082,D010852,D012640
999,11206082,D010433,D012640
