,Text,Type,Mesh
172,Delirium,Disease,D003693
173,Manic,Disease,D001714
174,Triazolo,Chemical,D014229
175,Muscular rigidity,Disease,D009127
176,Morphine,Chemical,D009020
177,Rigidity,Disease,D009127
178,Akinetic,Disease,D018476
179,Hyperkinetic,Disease,D006948
180,Haloperidol,Chemical,D006220
181,Pentazocine,Chemical,D010423
182,Compression neuropathy,Disease,D009408
183,Myopathy,Disease,D009135
184,Acute renal failure,Disease,D058186
185,Amphotericin,Chemical,D000666
186,Cirrhosis,Disease,D005355
187,Sporotrichosis,Disease,D013174
188,Amphotericin b,Chemical,D000666
189,Renal dysfunction,Disease,D007674
190,Neuropathy,Disease,D009422
191,Amiodarone,Chemical,D000638
192,Sinuatrial disease,Disease,D002318
193,Supraventricular tachyarrhythmias,Disease,D013617
194,Pneumonitis,Disease,D011014
195,Proximal motor neuropathy,Disease,D009468
196,Prednisolone,Chemical,D011239
197,Steroid,Chemical,D013256
198,Indomethacin,Chemical,D007213
199,Renal insufficiency,Disease,D051437
200,Hyperkalemia,Disease,D006947
201,Ascites,Disease,D001201
202,Cor pulmonale,Disease,D011660
203,Oliguria,Disease,D009846
204,Prostaglandins,Chemical,D011453
205,Flunitrazepam,Chemical,D005445
206,Dizziness,Disease,D004244
207,Timolol,Chemical,D013999
208,Bradycardia,Disease,D001919
209,Cardiomegaly,Disease,D006332
210,Infarction,Disease,D007238
211,Vitamin d3,Chemical,D002762
212,Hypercalcemia,Disease,D006934
213,Hyperphosphatemia,Disease,D054559
214,Calcium,Chemical,D002118
215,Milk fever,Disease,D010319
216,Diseases of peripheral nerves,Disease,D010523
217,Peripheral nerve disease,Disease,D010523
218,Sensori-motor neuropathy,Disease,D010523
219,Guillain-barr   syndrome,Disease,D020275
220,Motor neuropathy,Disease,D010523
221,Peripheral neuropathy,Disease,D010523
222,Nutritional deficiency,Disease,D044342
223,Thiamine,Chemical,D013831
224,Riboflavin,Chemical,D012256
225,Diabetes mellitus,Disease,D003920
226,Autonomic neuropathy,Disease,D009422
227,Isoniazid,Chemical,D007538
228,Cranial neuropathy,Disease,D003389
229,Malignancies,Disease,D009369
230,Connective tissue disorders,Disease,D003240
231,Neuropathies,Disease,D009422
232,Dothiepin hydrochloride,Chemical,D004308
233,Depressive disorder,Disease,D003866
234,Dothiepin,Chemical,D004308
235,Amitriptyline,Chemical,D000639
236,Depressive illness,Disease,D003866
237,Blurred vision,Disease,D014786
238,Dry mouth,Disease,D014987
239,Diazepam,Chemical,D003975
240,Propranolol,Chemical,D011433
241,Panic disorder,Disease,D016584
242,Agoraphobia,Disease,D000379
243,Panic disorders,Disease,D016584
244,Impaired immediate free recall,Disease,D008569
245,Delayed free recall was also impaired,Disease,D008569
246,Behavioral impairment,Disease,D001523
247,Aspirin,Chemical,D001241
248,N-[4-(5-nitro-2-furyl)-2-thiazolyl]-formamide,Chemical,D005200
249,Fanft,Chemical,D005200
250,Bladder carcinomas,Disease,D001749
251,Forestomach tumors,Disease,D013274
252,Carcinogenesis,Disease,D063646
253,Diabetic autonomic neuropathy,Disease,D003929
254,Diabetic,Disease,D003920
255,Estrogen,Chemical,D004967
256,Adenohypophyseal tumors,Disease,D010911
257,Pituitary tumors,Disease,D010911
258,Diethylstilbestrol,Chemical,D004054
259,Des,Chemical,D004054
260,Acriflavine,Chemical,D000167
261,Triamterene,Chemical,D014223
262,Nephrolithiasis,Disease,D053040
263,Dyazide,Chemical,C020743
264,Hydrochlorothiazide-triamterene,Chemical,C020743
265,Adriamycin,Chemical,D004317
266,Cardiotoxicity,Disease,D066126
267,Cardiotoxic,Disease,D066126
268,Phosphorylcreatine,Chemical,D010725
269,Phophorylcreatine,Chemical,D010725
270,Creatine,Chemical,D003401
271,Adenosine,Chemical,D000241
272,Atp,Chemical,D000255
273,Neurotoxic,Disease,D020258
274,Streptomycin,Chemical,D013307
275,Abnormal movements,Disease,D004409
276,Deafness,Disease,D003638
277,Dyskinesias,Disease,D004409
278,Glomerulonephritis,Disease,D005921
279,Rifampin,Chemical,D012293
280,Pulmonary tuberculosis,Disease,D014397
281,Puromycin aminonucleoside,Chemical,D011692
282,Oxygen,Chemical,D010100
283,Pan,Chemical,D011692
284,Thiobarbituric acid,Chemical,C029684
285,Proteinuric injury,Disease,D011507
286,Clomipramine,Chemical,D002997
287,Sleep disturbance,Disease,D012893
288,Angioedema,Disease,D000799
289,Pulmonary edema,Disease,D011654
290,Chest pain,Disease,D002637
291,Myocardial infarctions,Disease,D009203
292,Lisinopril,Chemical,D017706
293,Steroids,Chemical,D013256
294,Diphenhydramine,Chemical,D004155
295,Coniine,Chemical,C007112
296,Arthrogryposis,Disease,D001176
297,Nicotine,Chemical,D009538
298,Deformations,Disease,D009140
299,Excessive flexion or extension of one or more toes,Disease,D009140
300,Cranial hemorrhage,Disease,D002543
301,Prostaglandin e1,Chemical,D000527
302,Trimethaphan,Chemical,D014294
303,Pge1,Chemical,D000527
304,Tmp,Chemical,D014294
305,Isoflurane,Chemical,D007530
306,Axonal damage,Disease,D001480
307,Axonal injury,Disease,D001480
308,Injury in the cortex,Disease,D001480
309,Lactate,Chemical,D019344
310,Infarcts in substantia nigra pars reticulata,Disease,D002544
311,Pilocarpine,Chemical,D010862
312,Status epilepticus,Disease,D013226
313,Traumatic,Disease,D014947
314,Parkinson disability,Disease,D009069
315,Fluoxetine,Chemical,D005473
316,Parkinson's disease,Disease,D010300
317,Motor disability,Disease,D009069
318,Idiopathic parkinson's disease,Disease,D010300
319,Dopamine,Chemical,D004298
320,Acetaminophen,Chemical,D000082
321,Cardiovascular toxicities,Disease,D002318
322,Anaphylaxis,Disease,D000707
323,Critically ill,Disease,D016638
324,Allergic reactions,Disease,D004342
325,Autoimmune hemolytic anemia,Disease,D000744
326,Erythroblastocytopenia,Disease,Unknown
327,Ceftriaxone,Chemical,D002443
328,Beta lactam,Chemical,D047090
329,Bilirubin,Chemical,D001663
330,Extrapyramidal symptoms,Disease,D001480
331,Eps,Disease,D001480
332,Orthostatic hypotension,Disease,D007024
333,Seizure,Disease,D012640
334,Clozapine,Chemical,D003024
335,Agranulocytosis,Disease,D000380
336,Tetrandrine,Chemical,C009438
337,Fangchinoline,Chemical,C060802
338,Thrombosis,Disease,D013927
339,Platelet aggregation,Disease,D001791
340,Tet,Chemical,C009438
341,Fan,Chemical,C060802
342,Bisbenzylisoquinoline,Chemical,D044182
343,Ep,Chemical,D004837
344,Blood coagulation,Disease,D001778
345,Acetylsalicylic acid,Chemical,D001241
346,Asa,Chemical,D001241
347,Platelet aggregations,Disease,D001791
348,Gemcitabine,Chemical,C056507
349,Vinorelbine,Chemical,C030852
350,Nonsmall cell lung carcinoma,Disease,D002289
351,Nsclc,Disease,D002289
352,Vnb,Chemical,C030852
353,Gem,Chemical,C056507
354,Neutropenia,Disease,D009503
355,Thrombocytopenia,Disease,D013921
356,Neurotoxicity,Disease,D020258
357,Myelosuppression,Disease,D001855
358,Warfarin,Chemical,D014859
359,Artery calcification,Disease,D061205
360,Vitamin d,Chemical,D014807
361,Calcification,Disease,D002114
362,Calcification of the artery,Disease,D061205
363,Phosphate,Chemical,D010710
364,Vitamin k,Chemical,D014812
365,Gamma-carboxylated,Chemical,D015055
366,Gamma-carboxyglutamate,Chemical,D015055
367,Bipolar,Disease,D001714
368,Antidepressants,Chemical,D000928
369,Bipolar depression,Disease,D001714
370,Bipolar disorder,Disease,D001714
371,Hypomanic,Disease,D001714
372,Dsm-iv bipolar i,Disease,D001714
373,Bipolar ii,Disease,D001714
374,Serotonin reuptake inhibitors,Chemical,D017367
375,Ssris,Chemical,D017367
376,Hypomania,Disease,D001714
377,Bipolar i,Disease,D001714
378,Caffeine,Chemical,D002110
379,Cardiac arrhythmia,Disease,D001145
380,Mitral valve prolapse,Disease,D008945
381,Ventricular fibrillation,Disease,D014693
382,Retention of urine,Disease,D016055
383,Fentanyl,Chemical,D005283
384,Chest wall rigidity,Disease,D009127
385,Respiratory depression,Disease,D012131
386,Urinary bladder retention,Disease,D001745
387,Hydronephrosis,Disease,D006869
388,Cardiomyopathy,Disease,D009202
389,Aids,Disease,D000163
390,Cm,Disease,D009202
391,La,Chemical,D019344
392,Mitochondrial dysfunction,Disease,D028361
393,Zidovudine,Chemical,D015215
394,Lamivudine,Chemical,D019259
395,Indinavir,Chemical,D019469
396,Oral contraceptives,Chemical,D003276
397,Progestagen,Chemical,D011372
398,Desogestrel,Chemical,D017135
399,Gestodene,Chemical,C033273
400,Levonorgestrel,Chemical,D016912
401,Oral-contraceptive,Chemical,D003276
402,Oral contraceptive,Chemical,D003276
403,Locomotor hyperactivity,Disease,D009069
404,Gr 55562,Chemical,C103477
405,Cp 93129,Chemical,C065046
406,Hyperlocomotion,Disease,D009069
407,Ticlopidine,Chemical,D013988
408,Jaundice,Disease,D007565
409,Cholestasis,Disease,D002779
410,Clopidogrel,Chemical,C055162
411,Nephrotic syndrome,Disease,D009404
412,No,Chemical,D009569
413,Calcitonin gene-related peptide,Chemical,D015740
414,Cgrp,Chemical,D015740
415,Serotonin,Chemical,D012701
416,5-hydroxytriptamine,Chemical,D012701
417,5-ht,Chemical,D012701
418,Headache,Disease,D006261
419,Migraineurs (without aura),Disease,D020326
420,Coronary aneurysm,Disease,D003323
421,Paclitaxel,Chemical,D017239
422,Aneurysm,Disease,D000783
423,Vessel rupture,Disease,Unknown
424,Urotensin-ii,Chemical,D014579
425,U-ii,Chemical,D014579
426,Apomorphine,Chemical,D001058
427,Penile erection,Disease,D010409
428,Corticosterone,Chemical,D003345
429,Psychiatric disorders,Disease,D001523
430,Dysphonia,Disease,D055154
431,Acitretin,Chemical,D017255
432,Tissue injury,Disease,D017695
433,Secondary hyperalgesia,Disease,D006930
434,Neurogenic hyperalgesia,Disease,D006930
435,Neuropathic pain,Disease,D009437
436,Hyperalgesia,Disease,D006930
437,Gabapentin,Chemical,C040029
438,Capsaicin,Chemical,D002211
439,Mdma,Chemical,D018817
440,Impaired social and emotional judgement processes,Disease,D003072
441,Memory deficits,Disease,D008569
442,"3,4-methylenedioxymethamphetamine",Chemical,D018817
443,Ecstasy,Chemical,D018817
444,Citrate,Chemical,C102006
445,Hyperlipidemia,Disease,D006949
446,Bumetanide,Chemical,D002034
447,Pravastatin,Chemical,D017035
448,Paroxetine,Chemical,D017374
449,Tetany,Disease,D013746
450,Calcium gluconate,Chemical,D002125
451,Muscle contractions,Disease,C536214
452,Sodium citrate,Chemical,C102006
453,Hypocalcemia,Disease,D006996
454,Loop diuretic,Chemical,D049994
455,Sirolimus,Chemical,D020123
456,Srl,Chemical,D020123
457,Chronic allograft nephropathy,Disease,D051436
458,Can,Disease,D007674
459,Neoplasia,Disease,D009369
460,Kaposi's sarcoma,Disease,D012514
461,Skin cancers,Disease,D012878
462,Intestinal tumors,Disease,D007414
463,Renal cell carsinom,Disease,D002292
464,Nephrotic,Disease,D009404
465,Membranoproliferative glomerulopathy,Disease,D015433
466,Interstitial nephritis,Disease,D009395
467,Cystitis,Disease,D003556
468,Atropine,Chemical,D001285
469,"Alpha,beta-methylene adenosine-5'-triphosphate",Chemical,C002630
470,"Alpha,beta-meatp",Chemical,C002630
471,4-diphenylacetoxy-n-methylpiperidine,Chemical,C042375
472,4-damp,Chemical,C042375
473,Methoctramine,Chemical,C054938
474,Pirenzepine,Chemical,D010890
475,Carbachol,Chemical,D002217
476,Potassium,Chemical,D011188
477,Isoprenaline,Chemical,D007545
478,Bzds,Chemical,D001569
479,Oxazepam,Chemical,D010076
480,Temazepam,Chemical,D013693
481,Zopiclone,Chemical,C515050
482,Dementia,Disease,D003704
483,Inability to sleep,Disease,D007319
484,Tiredness,Disease,D005221
485,Depressive symptoms,Disease,D003866
486,Vocal fold palsy,Disease,D014826
487,Disulfiram,Chemical,D004221
488,Overdose,Disease,D062787
489,Quadriparesis,Disease,D011782
490,Sensory loss,Disease,C580162
491,Paresthesia,Disease,D010292
492,Alcohol,Chemical,D000431
493,Ataxia,Disease,D001259
494,Giddiness,Disease,D004244
495,Hoarseness,Disease,D006685
496,Polyneuropathy,Disease,D011115
497,Palsy,Disease,D010243
498,Heparin,Chemical,D006493
499,Hit,Disease,D013921
500,Thrombotic,Disease,D013927
501,Retinal vein occlusion,Disease,D012170
502,Clomiphene,Chemical,D002996
503,Clomiphene citrate,Chemical,D002996
504,Cc,Chemical,D002996
505,Infertility,Disease,D007247
506,Thromboembolic,Disease,D013923
507,Visual disturbance,Disease,D014786
508,Nystagmus,Disease,D009759
509,Nin,Disease,D009759
510,Verapamil,Chemical,D014700
511,Gastric hemorrhagic,Disease,D006471
512,Ulcers,Disease,D014456
513,Atherosclerotic,Disease,D050197
514,Gastric hemorrhage,Disease,D006471
515,Histamine,Chemical,D006632
516,Ulcer,Disease,D014456
517,Atherosclerosis,Disease,D050197
518,Vitamin d2,Chemical,D004872
519,Cholesterol,Chemical,D002784
520,Luminal,Chemical,D010634
521,Hemorrhagic,Disease,D006471
522,Heart failure,Disease,D006333
523,3-methyladenine,Chemical,C025946
524,3ma,Chemical,C025946
525,K,Chemical,D011188
526,Confusion,Disease,D003221
527,Valproic acid,Chemical,D014635
528,Cannabis,Chemical,D002188
529,Hyperactivity,Disease,D006948
530,Argatroban,Chemical,C031942
531,Hepatic impairment,Disease,D008107
532,Coagulopathy,Disease,D001778
533,Antituberculosis,Chemical,D000995
534,Acute liver failure,Disease,D017114
535,Alf,Disease,D017114
536,Hepatitis virus infection,Disease,D006525
537,Tuberculosis,Disease,D014376
538,Icterus,Disease,D007565
539,Encephalopathy,Disease,D001927
540,Cerebral edema,Disease,D001929
541,Gastrointestinal bleed,Disease,D006471
542,Hepatitis e,Disease,D016751
543,Central nervous system complications,Disease,D002493
544,Acute lymphoblastic leukemia,Disease,D054198
545,Central nervous system (cns) complications,Disease,D002493
546,All,Disease,D054198
547,Neurological complications,Disease,D002493
548,Leukemic infiltration,Disease,D017254
549,Neurocognitive defects,Disease,D002493
550,Leukoencephalopathy,Disease,D056784
551,Stroke,Disease,D020521
552,Temporal lobe epilepsy,Disease,D004833
553,Inappropriate antidiuretic hormone secretion,Disease,D007177
554,Capecitabine,Chemical,C110904
555,Fluoropyrimidines,Chemical,Unknown
556,5-fluorouracil,Chemical,D005472
557,5-fu,Chemical,D005472
558,Tumors,Disease,D009369
559,Renal and kidney disease,Disease,D007674
560,Diarrhea,Disease,D003967
561,Vomiting,Disease,D014839
562,Stomatitis,Disease,D013280
563,Hand-foot syndrome,Disease,D060831
564,Neurotensin,Chemical,D009496
565,Parkinsonian catalepsy,Disease,D002375
566,Parkinsonian symptoms,Disease,D010302
567,Neurotensin type-1 receptor antagonist,Chemical,C079087
568,Sr48692,Chemical,C079087
569,Psychiatric,Disease,D001523
570,Depressions,Disease,D003866
571,Methyl dopa,Chemical,D008750
572,Sodium nitroprusside,Chemical,D009599
573,H2o,Chemical,D014867
574,Decrease in arterial blood pressure,Disease,D007022
575,Decreased cardiac output,Disease,D002303
576,Decreases in arterial blood pressure,Disease,D007022
577,L-dopa,Chemical,D007980
578,Mk-486,Chemical,D002230
579,Mao,Chemical,D008995
580,Dl-threo-dihydroxyphenylserine,Chemical,D015103
581,Fla-63,Chemical,D005406
582,Pimozide,Chemical,D010868
583,5-htp,Chemical,D006916
584,Acute myocardial infarction,Disease,D009203
585,Atherosclerotic obstruction,Disease,D050197
586,Coronary occlusion,Disease,D054059
587,Spasm,Disease,D013035
588,Thrombus,Disease,D013927
589,Rabbit syndrome,Disease,D001480
590,Imipramine,Chemical,D007099
591,Decreased basal ganglia perfusion,Disease,D001480
592,Movement disorder,Disease,D009069
593,Ipratropium bromide,Chemical,D009241
594,Theophylline,Chemical,D013806
595,Chronic obstructive pulmonary disease,Disease,D029424
596,Ipratropium,Chemical,D009241
597,Chronic airflow obstruction,Disease,D029424
598,Rpn,Disease,D007681
599,Polyuria,Disease,D011141
600,Hyperthermia,Disease,D005334
601,Toxicities,Disease,D064420
602,Leukopenia,Disease,D007970
603,Prazosin,Chemical,D011224
604,Stress incontinence,Disease,D014550
605,Incontinence,Disease,D014549
606,Isosorbide dinitrate,Chemical,D007548
607,Myocardial ischemia,Disease,D017202
608,Coronary arterial stenosis,Disease,D023921
609,Acute coronary insufficiency,Disease,D054058
610,Akathisia,Disease,D017109
611,Obsessive compulsive disorder,Disease,D009771
612,Major depression,Disease,D003865
613,Anxiety,Disease,D001008
614,Chronic active hepatitis,Disease,D006521
615,Diclofenac sodium,Chemical,D004008
616,Voltarol,Chemical,D004008
617,Phenylacetic acid,Chemical,C025136
618,Abnormalities of liver function,Disease,D056486
619,Diclofenac,Chemical,D004008
620,Intracranial aneurysms,Disease,D002532
621,Arteriovenous malformations,Disease,D001165
622,Cerebral vasculitis,Disease,D020293
623,Cerebral infarction,Disease,D002544
624,Intracerebral hemorrhage,Disease,D002543
625,Subarachnoid hemorrhage,Disease,D013345
626,Intracranial hemorrhage,Disease,D020300
627,Glyburide,Chemical,D005905
628,Sulfonylureas,Chemical,D013453
629,Sulfonylurea,Chemical,D013453
630,Type ii diabetes mellitus,Disease,D003924
631,Acute hepatitis-like syndrome,Disease,D056486
632,Viral infection,Disease,D014777
633,Drug-induced hepatitis,Disease,D056486
634,Acute hepatitis-like illness,Disease,D056486
635,Hemorrhage,Disease,D006470
636,Hem,Disease,D006470
637,Snp,Chemical,D009599
638,Hypovolemia,Disease,D020896
639,Sodium pentothal,Chemical,D013874
640,Cerebral ischaemia,Disease,D002545
641,Vasospasm,Disease,D020301
642,Gangrene,Disease,D005734
643,Cerebral aneurysms,Disease,D002532
644,Cerebral aneurysm,Disease,D002532
645,Subarachnoid haemorrhage,Disease,D013345
646,Xenon,Chemical,D014978
647,Nitrous oxide,Chemical,D009609
648,Hg,Chemical,D008628
649,Allergic reaction,Disease,D004342
650,Angioneurotic edema,Disease,D000799
651,Carcinoma of the oral cavity,Disease,D009062
652,Impaired renal function,Disease,D007674
653,Prednisone,Chemical,D011241
654,Sinoatrial block,Disease,D012848
655,Primary cardiomyopathy,Disease,D009202
656,Wolff-parkinson-white syndrome,Disease,D014927
657,Supraventricular tachycardia,Disease,D013617
658,Sinus bradycardia,Disease,D012804
659,Sulphasalazine,Chemical,D012460
660,Congenital anomalies,Disease,D000013
661,Ulcerative colitis,Disease,D003093
662,Coarctation of the aorta,Disease,D001017
663,Ventricular septal defect,Disease,D006345
664,Potter-type iia polycystic kidney,Disease,D007690
665,Rudimentary left uterine cornu,Disease,Unknown
666,Potter's facies,Disease,Unknown
667,Hypoplastic lungs,Disease,Unknown
668,Absent kidneys and ureters,Disease,Unknown
669,Talipes equinovarus,Disease,D003025
670,Veno-occlusive liver disease,Disease,D006504
671,Dacarbazine,Chemical,D003606
672,Dtic,Chemical,D003606
673,Melanoma,Disease,D008545
674,Veno-occlusive disease of the liver,Disease,D006504
675,Venous congestion,Disease,D006940
676,Metoclopramide,Chemical,D008787
677,Abnormal involuntary movements,Disease,D004409
678,Gastrointestinal disorder,Disease,D005767
679,Intra-hisian block,Disease,D006327
680,Atrial tachycardia,Disease,D013617
681,Intraventricular conduction abnormalities,Disease,D006345
682,Atrial flutter,Disease,D001282
683,Busulfan,Chemical,D002066
684,Carcinoma,Disease,D002277
685,Saralasin,Chemical,D012504
686,Halothane,Chemical,D006221
687,Angiotensin ii,Chemical,D000804
688,Increase in blood pressure,Disease,D006973
689,Toxic hepatitis,Disease,D056486
690,Carbimazole,Chemical,D002231
691,Benzylthiouracil,Chemical,C019269
692,Hepatic adverse effects,Disease,D056486
693,Hyperthyroidism,Disease,D006980
694,N  omercazole,Chemical,D002231
695,Cholestatic,Disease,D002779
696,Basd  ne,Chemical,C019269
697,Vitamin b12,Chemical,D014805
698,Folinic acid,Chemical,D002955
699,Zdv,Chemical,D015215
700,Bone marrow suppression,Disease,D001855
701,Human immunodeficiency virus (hiv)-infected,Disease,D015658
702,Myelotoxicity,Disease,D001855
703,Cisplatinum,Chemical,D002945
704,Gastric adenocarcinoma,Disease,D013274
705,Disorientation,Disease,D003221
706,Irritability,Disease,D001523
707,Coma,Disease,D003128
708,Fluoroacetate,Chemical,D005463
709,Fluorocitrate,Chemical,C007744
710,Dihydrouracil,Chemical,C007419
711,Oxcarbazepine,Chemical,C036006
712,Organic psychotic,Disease,D019965
713,Chlorpromazine,Chemical,D002746
714,Erythema multiforme,Disease,D004892
715,Hypersensitivity myocarditis,Disease,D009205
716,Ampicillin,Chemical,D000667
717,Gentamicin,Chemical,D005839
718,Septicemia,Disease,D018805
719,Congestive heart failure,Disease,D006333
720,Myocarditis,Disease,D009205
721,Methylprednisolone,Chemical,D008775
722,Infections,Disease,D007239
723,Drug-induced allergic reaction,Disease,D004342
724,Allergy,Disease,D004342
725,Penicillins,Chemical,D010406
726,Amoxicillin,Chemical,D000658
727,Beta-lactam,Chemical,D047090
728,Allergic,Disease,D004342
729,Ax,Chemical,D000658
730,Penicillin,Chemical,D010406
731,Benzylpenicilloyl-poly-l-lysine,Chemical,Unknown
732,Bpo-pll,Chemical,Unknown
733,Benzylpenicilloate,Chemical,Unknown
734,Benzylpenicillin,Chemical,D010400
735,Pg,Chemical,D010400
736,Amp,Chemical,D000667
737,Bpo,Chemical,Unknown
738,Urticaria,Disease,D014581
739,Mdm,Disease,D007645
740,Atracurium,Chemical,D001279
741,Vecuronium bromide,Chemical,D014673
742,Atracurium besylate,Chemical,D001279
743,Benzylisoquinolinium,Chemical,Unknown
744,End-stage renal disease,Disease,D007676
745,Esrd,Disease,D007676
